# Logfile created on 2026-03-28 00:57:04 +0100 by logger.rb/v1.5.3
2026-03-28 00:57:04 +0100: Memory Usage (437444K) : Starting running IHP-SG13G2 KLayout DRC runset on /foss/designs/Design/xschem/HPAmplifier/OTA_Telescopic/Layout_and_Related_files/HPA_to_PADS.gds
2026-03-28 00:57:04 +0100: Memory Usage (437444K) : Ruby Version for klayout: 3.2.3
2026-03-28 00:57:04 +0100: Memory Usage (440372K) : Loading database to memory is complete.
2026-03-28 00:57:04 +0100: Memory Usage (440372K) : IHP-SG13G2 KLayout DRC runset output at: /foss/designs/Design/xschem/HPAmplifier/OTA_Telescopic/Layout_and_Related_files/drc_run_HPA/HPA_to_PADS_HPA_topmetal2.lyrdb
2026-03-28 00:57:04 +0100: Memory Usage (440372K) : Evaluate switches.
2026-03-28 00:57:04 +0100: Memory Usage (440372K) : tables selected: topmetal2
2026-03-28 00:57:04 +0100: Memory Usage (440372K) : KLayout will use 4 thread(s) in tiled mode.
2026-03-28 00:57:04 +0100: Memory Usage (440372K) : flat mode is enabled.
2026-03-28 00:57:05 +0100: Memory Usage (450232K) : passiv_pin has 0 polygons
2026-03-28 00:57:05 +0100: Memory Usage (450232K) : passiv_sbump has 0 polygons
2026-03-28 00:57:05 +0100: Memory Usage (450232K) : passiv_pillar has 0 polygons
2026-03-28 00:57:05 +0100: Memory Usage (450232K) : passiv_pdl has 0 polygons
2026-03-28 00:57:05 +0100: Memory Usage (450232K) : metal2_drw has 98 polygons
2026-03-28 00:57:05 +0100: Memory Usage (450232K) : metal2_pin has 12 polygons
2026-03-28 00:57:05 +0100: Memory Usage (450232K) : metal2_mask has 0 polygons
2026-03-28 00:57:05 +0100: Memory Usage (450232K) : metal2_filler has 0 polygons
2026-03-28 00:57:05 +0100: Memory Usage (450232K) : metal2_nofill has 0 polygons
2026-03-28 00:57:05 +0100: Memory Usage (450232K) : metal2_slit has 0 polygons
2026-03-28 00:57:05 +0100: Memory Usage (450232K) : metal2_text has 1 polygons
2026-03-28 00:57:05 +0100: Memory Usage (450232K) : metal2_opc has 0 polygons
2026-03-28 00:57:05 +0100: Memory Usage (450232K) : metal2_noqrc has 0 polygons
2026-03-28 00:57:05 +0100: Memory Usage (450232K) : metal2_res has 0 polygons
2026-03-28 00:57:05 +0100: Memory Usage (450232K) : metal2_iprobe has 0 polygons
2026-03-28 00:57:05 +0100: Memory Usage (450232K) : metal2_diffprb has 0 polygons
2026-03-28 00:57:05 +0100: Memory Usage (450232K) : baspoly_drw has 0 polygons
2026-03-28 00:57:05 +0100: Memory Usage (450232K) : baspoly_pin has 0 polygons
2026-03-28 00:57:05 +0100: Memory Usage (450232K) : psd_drw has 24 polygons
2026-03-28 00:57:05 +0100: Memory Usage (450232K) : nldb_drw has 0 polygons
2026-03-28 00:57:05 +0100: Memory Usage (450232K) : digibnd_drw has 0 polygons
2026-03-28 00:57:05 +0100: Memory Usage (450232K) : via1_drw has 9590 polygons
2026-03-28 00:57:05 +0100: Memory Usage (450232K) : backmetal1_drw has 0 polygons
2026-03-28 00:57:05 +0100: Memory Usage (450232K) : backmetal1_pin has 0 polygons
2026-03-28 00:57:05 +0100: Memory Usage (450232K) : backmetal1_mask has 0 polygons
2026-03-28 00:57:05 +0100: Memory Usage (450232K) : backmetal1_filler has 0 polygons
2026-03-28 00:57:05 +0100: Memory Usage (450232K) : backmetal1_nofill has 0 polygons
2026-03-28 00:57:05 +0100: Memory Usage (450232K) : backmetal1_slit has 0 polygons
2026-03-28 00:57:05 +0100: Memory Usage (450232K) : backmetal1_text has 0 polygons
2026-03-28 00:57:05 +0100: Memory Usage (450232K) : backmetal1_opc has 0 polygons
2026-03-28 00:57:05 +0100: Memory Usage (450232K) : backmetal1_noqrc has 0 polygons
2026-03-28 00:57:05 +0100: Memory Usage (450232K) : backmetal1_res has 0 polygons
2026-03-28 00:57:05 +0100: Memory Usage (450232K) : backmetal1_iprobe has 0 polygons
2026-03-28 00:57:05 +0100: Memory Usage (450232K) : backmetal1_diffprb has 0 polygons
2026-03-28 00:57:05 +0100: Memory Usage (450232K) : backpassiv_drw has 0 polygons
2026-03-28 00:57:05 +0100: Memory Usage (450232K) : res_drw has 0 polygons
2026-03-28 00:57:05 +0100: Memory Usage (450232K) : sram_drw has 0 polygons
2026-03-28 00:57:05 +0100: Memory Usage (450232K) : trans_drw has 0 polygons
2026-03-28 00:57:05 +0100: Memory Usage (450232K) : ind_drw has 0 polygons
2026-03-28 00:57:05 +0100: Memory Usage (450232K) : ind_pin has 0 polygons
2026-03-28 00:57:05 +0100: Memory Usage (450232K) : ind_text has 0 polygons
2026-03-28 00:57:05 +0100: Memory Usage (450232K) : salblock_drw has 7 polygons
2026-03-28 00:57:05 +0100: Memory Usage (451200K) : via2_drw has 10845 polygons
2026-03-28 00:57:05 +0100: Memory Usage (451200K) : metal3_drw has 75 polygons
2026-03-28 00:57:05 +0100: Memory Usage (451200K) : metal3_pin has 13 polygons
2026-03-28 00:57:05 +0100: Memory Usage (451200K) : metal3_mask has 0 polygons
2026-03-28 00:57:05 +0100: Memory Usage (451200K) : metal3_filler has 0 polygons
2026-03-28 00:57:05 +0100: Memory Usage (451200K) : metal3_nofill has 0 polygons
2026-03-28 00:57:05 +0100: Memory Usage (451200K) : metal3_slit has 0 polygons
2026-03-28 00:57:05 +0100: Memory Usage (451200K) : metal3_text has 5 polygons
2026-03-28 00:57:05 +0100: Memory Usage (451200K) : metal3_opc has 0 polygons
2026-03-28 00:57:05 +0100: Memory Usage (451200K) : metal3_noqrc has 0 polygons
2026-03-28 00:57:05 +0100: Memory Usage (451200K) : metal3_res has 0 polygons
2026-03-28 00:57:05 +0100: Memory Usage (451200K) : metal3_iprobe has 0 polygons
2026-03-28 00:57:05 +0100: Memory Usage (451200K) : metal3_diffprb has 0 polygons
2026-03-28 00:57:05 +0100: Memory Usage (451200K) : nwell_drw has 5 polygons
2026-03-28 00:57:05 +0100: Memory Usage (451200K) : nwell_pin has 0 polygons
2026-03-28 00:57:05 +0100: Memory Usage (451200K) : nbulay_drw has 0 polygons
2026-03-28 00:57:05 +0100: Memory Usage (451200K) : nbulay_pin has 0 polygons
2026-03-28 00:57:05 +0100: Memory Usage (451200K) : nbulay_block has 0 polygons
2026-03-28 00:57:05 +0100: Memory Usage (451200K) : emwind_drw has 0 polygons
2026-03-28 00:57:05 +0100: Memory Usage (451200K) : emwind_opc has 0 polygons
2026-03-28 00:57:05 +0100: Memory Usage (451464K) : deepco_drw has 0 polygons
2026-03-28 00:57:05 +0100: Memory Usage (451464K) : deepco_drw has 0 polygons
2026-03-28 00:57:05 +0100: Memory Usage (451464K) : mim_drw has 2 polygons
2026-03-28 00:57:05 +0100: Memory Usage (451464K) : edgeseal_drw has 0 polygons
2026-03-28 00:57:05 +0100: Memory Usage (451728K) : edgeseal_bound has 0 polygons
2026-03-28 00:57:05 +0100: Memory Usage (451728K) : substrate_drw has 723 polygons
2026-03-28 00:57:05 +0100: Memory Usage (451992K) : substrate_text has 0 polygons
2026-03-28 00:57:05 +0100: Memory Usage (451992K) : dfpad_drw has 0 polygons
2026-03-28 00:57:05 +0100: Memory Usage (451992K) : dfpad_pillar has 0 polygons
2026-03-28 00:57:05 +0100: Memory Usage (451992K) : dfpad_sbump has 0 polygons
2026-03-28 00:57:05 +0100: Memory Usage (452256K) : thickgateox_drw has 0 polygons
2026-03-28 00:57:05 +0100: Memory Usage (452256K) : pldb_drw has 0 polygons
2026-03-28 00:57:05 +0100: Memory Usage (452520K) : pwell_drw has 0 polygons
2026-03-28 00:57:05 +0100: Memory Usage (452520K) : pwell_pin has 0 polygons
2026-03-28 00:57:05 +0100: Memory Usage (452520K) : pwell_block has 0 polygons
2026-03-28 00:57:05 +0100: Memory Usage (452784K) : ic_drw has 0 polygons
2026-03-28 00:57:05 +0100: Memory Usage (456216K) : via3_drw has 14951 polygons
2026-03-28 00:57:05 +0100: Memory Usage (456216K) : metal4_drw has 48 polygons
2026-03-28 00:57:05 +0100: Memory Usage (456216K) : metal4_pin has 3 polygons
2026-03-28 00:57:05 +0100: Memory Usage (456216K) : metal4_mask has 0 polygons
2026-03-28 00:57:05 +0100: Memory Usage (456216K) : metal4_filler has 0 polygons
2026-03-28 00:57:05 +0100: Memory Usage (456216K) : metal4_nofill has 0 polygons
2026-03-28 00:57:05 +0100: Memory Usage (456216K) : metal4_slit has 0 polygons
2026-03-28 00:57:05 +0100: Memory Usage (456216K) : metal4_text has 0 polygons
2026-03-28 00:57:05 +0100: Memory Usage (456216K) : metal4_opc has 0 polygons
2026-03-28 00:57:05 +0100: Memory Usage (456216K) : metal4_noqrc has 0 polygons
2026-03-28 00:57:05 +0100: Memory Usage (456216K) : metal4_res has 0 polygons
2026-03-28 00:57:05 +0100: Memory Usage (456216K) : metal4_iprobe has 0 polygons
2026-03-28 00:57:05 +0100: Memory Usage (456216K) : metal4_diffprb has 0 polygons
2026-03-28 00:57:05 +0100: Memory Usage (456216K) : heattrans_drw has 421 polygons
2026-03-28 00:57:05 +0100: Memory Usage (456216K) : heatres_drw has 7 polygons
2026-03-28 00:57:05 +0100: Memory Usage (456216K) : pempoly_drw has 0 polygons
2026-03-28 00:57:05 +0100: Memory Usage (456216K) : fbe_drw has 0 polygons
2026-03-28 00:57:05 +0100: Memory Usage (456216K) : empoly_drw has 0 polygons
2026-03-28 00:57:05 +0100: Memory Usage (456216K) : ldmos_drw has 0 polygons
2026-03-28 00:57:05 +0100: Memory Usage (456216K) : pbiwind_drw has 0 polygons
2026-03-28 00:57:05 +0100: Memory Usage (456216K) : digisub_drw has 0 polygons
2026-03-28 00:57:05 +0100: Memory Usage (456216K) : nodrc_drw has 0 polygons
2026-03-28 00:57:05 +0100: Memory Usage (456216K) : text_drw has 1107 polygons
2026-03-28 00:57:05 +0100: Memory Usage (456216K) : via4_drw has 14844 polygons
2026-03-28 00:57:05 +0100: Memory Usage (456216K) : metal5_drw has 39 polygons
2026-03-28 00:57:05 +0100: Memory Usage (456216K) : metal5_pin has 4 polygons
2026-03-28 00:57:05 +0100: Memory Usage (456216K) : metal5_mask has 0 polygons
2026-03-28 00:57:05 +0100: Memory Usage (456216K) : metal5_filler has 0 polygons
2026-03-28 00:57:05 +0100: Memory Usage (456216K) : metal5_nofill has 0 polygons
2026-03-28 00:57:05 +0100: Memory Usage (456216K) : metal5_slit has 0 polygons
2026-03-28 00:57:05 +0100: Memory Usage (456216K) : metal5_text has 0 polygons
2026-03-28 00:57:05 +0100: Memory Usage (456216K) : metal5_opc has 0 polygons
2026-03-28 00:57:05 +0100: Memory Usage (456216K) : metal5_noqrc has 0 polygons
2026-03-28 00:57:05 +0100: Memory Usage (456216K) : metal5_res has 0 polygons
2026-03-28 00:57:05 +0100: Memory Usage (456216K) : metal5_iprobe has 0 polygons
2026-03-28 00:57:05 +0100: Memory Usage (456216K) : metal5_diffprb has 0 polygons
2026-03-28 00:57:05 +0100: Memory Usage (456216K) : radhard_drw has 0 polygons
2026-03-28 00:57:05 +0100: Memory Usage (456216K) : memcap_drw has 0 polygons
2026-03-28 00:57:05 +0100: Memory Usage (456216K) : varicap_drw has 0 polygons
2026-03-28 00:57:05 +0100: Memory Usage (456216K) : flash_drw has 0 polygons
2026-03-28 00:57:05 +0100: Memory Usage (456216K) : intbondvia_drw has 0 polygons
2026-03-28 00:57:05 +0100: Memory Usage (456216K) : intbondmet_drw has 0 polygons
2026-03-28 00:57:05 +0100: Memory Usage (456216K) : devbondvia_drw has 0 polygons
2026-03-28 00:57:05 +0100: Memory Usage (456216K) : devbondmet_drw has 0 polygons
2026-03-28 00:57:05 +0100: Memory Usage (456216K) : devtrench_drw has 0 polygons
2026-03-28 00:57:05 +0100: Memory Usage (456216K) : redist_drw has 0 polygons
2026-03-28 00:57:05 +0100: Memory Usage (456216K) : graphbot_drw has 0 polygons
2026-03-28 00:57:05 +0100: Memory Usage (456216K) : graphtop_drw has 0 polygons
2026-03-28 00:57:05 +0100: Memory Usage (456216K) : antvia1_drw has 0 polygons
2026-03-28 00:57:05 +0100: Memory Usage (456216K) : antmetal2_drw has 0 polygons
2026-03-28 00:57:05 +0100: Memory Usage (456216K) : graphcont_drw has 0 polygons
2026-03-28 00:57:05 +0100: Memory Usage (456216K) : siwg_drw has 0 polygons
2026-03-28 00:57:05 +0100: Memory Usage (456216K) : siwg_filler has 0 polygons
2026-03-28 00:57:05 +0100: Memory Usage (456216K) : siwg_nofill has 0 polygons
2026-03-28 00:57:05 +0100: Memory Usage (456216K) : sigrating_drw has 0 polygons
2026-03-28 00:57:05 +0100: Memory Usage (456216K) : singrating_drw has 0 polygons
2026-03-28 00:57:05 +0100: Memory Usage (456216K) : graphpas_drw has 0 polygons
2026-03-28 00:57:05 +0100: Memory Usage (456216K) : emwind3_drw has 0 polygons
2026-03-28 00:57:05 +0100: Memory Usage (456216K) : emwihv3_drw has 0 polygons
2026-03-28 00:57:05 +0100: Memory Usage (456216K) : redbulay_drw has 0 polygons
2026-03-28 00:57:05 +0100: Memory Usage (456216K) : smos_drw has 0 polygons
2026-03-28 00:57:05 +0100: Memory Usage (456216K) : graphpad_drw has 0 polygons
2026-03-28 00:57:05 +0100: Memory Usage (456216K) : polimide_drw has 0 polygons
2026-03-28 00:57:05 +0100: Memory Usage (456216K) : polimide_pin has 0 polygons
2026-03-28 00:57:05 +0100: Memory Usage (456216K) : recog_drw has 0 polygons
2026-03-28 00:57:05 +0100: Memory Usage (456216K) : recog_pin has 0 polygons
2026-03-28 00:57:05 +0100: Memory Usage (456216K) : recog_esd has 0 polygons
2026-03-28 00:57:05 +0100: Memory Usage (456216K) : recog_diode has 0 polygons
2026-03-28 00:57:05 +0100: Memory Usage (456216K) : recog_tsv has 0 polygons
2026-03-28 00:57:05 +0100: Memory Usage (456216K) : recog_iprobe has 0 polygons
2026-03-28 00:57:05 +0100: Memory Usage (456216K) : recog_diffprb has 0 polygons
2026-03-28 00:57:05 +0100: Memory Usage (456216K) : recog_pillar has 0 polygons
2026-03-28 00:57:05 +0100: Memory Usage (456216K) : recog_sbump has 0 polygons
2026-03-28 00:57:05 +0100: Memory Usage (456216K) : recog_otp has 0 polygons
2026-03-28 00:57:05 +0100: Memory Usage (456216K) : recog_pdiode has 0 polygons
2026-03-28 00:57:06 +0100: Memory Usage (456216K) : recog_mom has 0 polygons
2026-03-28 00:57:06 +0100: Memory Usage (456216K) : recog_pcm has 0 polygons
2026-03-28 00:57:06 +0100: Memory Usage (456216K) : colopen_drw has 0 polygons
2026-03-28 00:57:06 +0100: Memory Usage (456216K) : graphmetal1_drw has 0 polygons
2026-03-28 00:57:06 +0100: Memory Usage (456216K) : graphmetal1_filler has 0 polygons
2026-03-28 00:57:06 +0100: Memory Usage (456216K) : graphmetal1_nofill has 0 polygons
2026-03-28 00:57:06 +0100: Memory Usage (456216K) : graphmetal1_slit has 0 polygons
2026-03-28 00:57:06 +0100: Memory Usage (456216K) : graphmetal1_opc has 0 polygons
2026-03-28 00:57:06 +0100: Memory Usage (456216K) : graphmet1l_drw has 0 polygons
2026-03-28 00:57:06 +0100: Memory Usage (456216K) : graphmet1l_filler has 0 polygons
2026-03-28 00:57:06 +0100: Memory Usage (456216K) : graphmet1l_nofill has 0 polygons
2026-03-28 00:57:06 +0100: Memory Usage (456216K) : graphmet1l_slit has 0 polygons
2026-03-28 00:57:06 +0100: Memory Usage (456216K) : graphmet1l_opc has 0 polygons
2026-03-28 00:57:06 +0100: Memory Usage (456216K) : extblock_drw has 5 polygons
2026-03-28 00:57:06 +0100: Memory Usage (456216K) : nldd_drw has 0 polygons
2026-03-28 00:57:06 +0100: Memory Usage (456216K) : pldd_drw has 0 polygons
2026-03-28 00:57:06 +0100: Memory Usage (456216K) : next_drw has 0 polygons
2026-03-28 00:57:06 +0100: Memory Usage (456216K) : pext_drw has 0 polygons
2026-03-28 00:57:06 +0100: Memory Usage (456216K) : nexthv_drw has 0 polygons
2026-03-28 00:57:06 +0100: Memory Usage (456216K) : pexthv_drw has 0 polygons
2026-03-28 00:57:06 +0100: Memory Usage (456480K) : graphgate_drw has 0 polygons
2026-03-28 00:57:06 +0100: Memory Usage (456480K) : sinwg_drw has 0 polygons
2026-03-28 00:57:06 +0100: Memory Usage (456480K) : sinwg_filler has 0 polygons
2026-03-28 00:57:06 +0100: Memory Usage (456480K) : sinwg_nofill has 0 polygons
2026-03-28 00:57:06 +0100: Memory Usage (456480K) : mempad_drw has 0 polygons
2026-03-28 00:57:06 +0100: Memory Usage (457536K) : topvia1_drw has 3590 polygons
2026-03-28 00:57:06 +0100: Memory Usage (457536K) : topmetal1_drw has 16 polygons
2026-03-28 00:57:06 +0100: Memory Usage (457536K) : topmetal1_pin has 11 polygons
2026-03-28 00:57:06 +0100: Memory Usage (457536K) : topmetal1_mask has 0 polygons
2026-03-28 00:57:06 +0100: Memory Usage (457800K) : topmetal1_filler has 0 polygons
2026-03-28 00:57:06 +0100: Memory Usage (457800K) : topmetal1_nofill has 0 polygons
2026-03-28 00:57:06 +0100: Memory Usage (457800K) : topmetal1_slit has 0 polygons
2026-03-28 00:57:06 +0100: Memory Usage (457800K) : topmetal1_text has 1 polygons
2026-03-28 00:57:06 +0100: Memory Usage (457800K) : topmetal1_noqrc has 0 polygons
2026-03-28 00:57:06 +0100: Memory Usage (458064K) : topmetal1_res has 0 polygons
2026-03-28 00:57:06 +0100: Memory Usage (458064K) : topmetal1_iprobe has 0 polygons
2026-03-28 00:57:06 +0100: Memory Usage (458064K) : topmetal1_diffprb has 0 polygons
2026-03-28 00:57:06 +0100: Memory Usage (458064K) : inldpwl_drw has 0 polygons
2026-03-28 00:57:06 +0100: Memory Usage (458064K) : polyres_drw has 7 polygons
2026-03-28 00:57:06 +0100: Memory Usage (458064K) : polyres_pin has 0 polygons
2026-03-28 00:57:06 +0100: Memory Usage (458064K) : vmim_drw has 578 polygons
2026-03-28 00:57:06 +0100: Memory Usage (458064K) : nbulaycut_drw has 0 polygons
2026-03-28 00:57:06 +0100: Memory Usage (458064K) : antmetal1_drw has 0 polygons
2026-03-28 00:57:06 +0100: Memory Usage (458064K) : topvia2_drw has 1024 polygons
2026-03-28 00:57:06 +0100: Memory Usage (458064K) : topmetal2_drw has 4 polygons
2026-03-28 00:57:06 +0100: Memory Usage (458064K) : topmetal2_pin has 1 polygons
2026-03-28 00:57:06 +0100: Memory Usage (458064K) : topmetal2_mask has 0 polygons
2026-03-28 00:57:06 +0100: Memory Usage (458064K) : topmetal2_filler has 0 polygons
2026-03-28 00:57:06 +0100: Memory Usage (458064K) : topmetal2_nofill has 0 polygons
2026-03-28 00:57:06 +0100: Memory Usage (458064K) : topmetal2_slit has 0 polygons
2026-03-28 00:57:06 +0100: Memory Usage (458064K) : topmetal2_text has 1 polygons
2026-03-28 00:57:06 +0100: Memory Usage (458064K) : topmetal2_noqrc has 0 polygons
2026-03-28 00:57:06 +0100: Memory Usage (458064K) : topmetal2_res has 0 polygons
2026-03-28 00:57:06 +0100: Memory Usage (458064K) : topmetal2_iprobe has 0 polygons
2026-03-28 00:57:06 +0100: Memory Usage (458064K) : topmetal2_diffprb has 0 polygons
2026-03-28 00:57:06 +0100: Memory Usage (458064K) : snsring_drw has 0 polygons
2026-03-28 00:57:06 +0100: Memory Usage (458064K) : sensor_drw has 0 polygons
2026-03-28 00:57:06 +0100: Memory Usage (458064K) : snsarms_drw has 0 polygons
2026-03-28 00:57:06 +0100: Memory Usage (458064K) : snscmosvia_drw has 0 polygons
2026-03-28 00:57:06 +0100: Memory Usage (458064K) : colwind_drw has 0 polygons
2026-03-28 00:57:06 +0100: Memory Usage (458064K) : flm_drw has 0 polygons
2026-03-28 00:57:06 +0100: Memory Usage (458064K) : hafniumox_drw has 0 polygons
2026-03-28 00:57:06 +0100: Memory Usage (458064K) : memvia_drw has 0 polygons
2026-03-28 00:57:06 +0100: Memory Usage (458064K) : thinfilmres_drw has 0 polygons
2026-03-28 00:57:06 +0100: Memory Usage (458064K) : rfmem_drw has 0 polygons
2026-03-28 00:57:06 +0100: Memory Usage (458064K) : norcx_drw has 0 polygons
2026-03-28 00:57:06 +0100: Memory Usage (458064K) : norcx_m2m3 has 0 polygons
2026-03-28 00:57:06 +0100: Memory Usage (458064K) : norcx_m2m4 has 0 polygons
2026-03-28 00:57:06 +0100: Memory Usage (458064K) : norcx_m2m5 has 0 polygons
2026-03-28 00:57:06 +0100: Memory Usage (458064K) : norcx_m2tm1 has 0 polygons
2026-03-28 00:57:06 +0100: Memory Usage (458064K) : norcx_m2tm2 has 0 polygons
2026-03-28 00:57:06 +0100: Memory Usage (458064K) : norcx_m3m4 has 0 polygons
2026-03-28 00:57:06 +0100: Memory Usage (458064K) : norcx_m3m5 has 0 polygons
2026-03-28 00:57:06 +0100: Memory Usage (458064K) : norcx_m3tm1 has 0 polygons
2026-03-28 00:57:06 +0100: Memory Usage (458064K) : norcx_m3tm2 has 0 polygons
2026-03-28 00:57:06 +0100: Memory Usage (458064K) : norcx_m4m5 has 0 polygons
2026-03-28 00:57:06 +0100: Memory Usage (458064K) : norcx_m4tm1 has 0 polygons
2026-03-28 00:57:06 +0100: Memory Usage (458064K) : norcx_m4tm2 has 0 polygons
2026-03-28 00:57:06 +0100: Memory Usage (458064K) : norcx_m5tm1 has 0 polygons
2026-03-28 00:57:06 +0100: Memory Usage (458064K) : norcx_m5tm2 has 0 polygons
2026-03-28 00:57:06 +0100: Memory Usage (458064K) : norcx_tm1tm2 has 0 polygons
2026-03-28 00:57:06 +0100: Memory Usage (458064K) : norcx_m1sub has 0 polygons
2026-03-28 00:57:06 +0100: Memory Usage (458064K) : norcx_m2sub has 0 polygons
2026-03-28 00:57:06 +0100: Memory Usage (458064K) : norcx_m3sub has 0 polygons
2026-03-28 00:57:06 +0100: Memory Usage (458064K) : norcx_m4sub has 0 polygons
2026-03-28 00:57:06 +0100: Memory Usage (458064K) : norcx_m5sub has 0 polygons
2026-03-28 00:57:06 +0100: Memory Usage (458064K) : norcx_tm1sub has 0 polygons
2026-03-28 00:57:06 +0100: Memory Usage (458064K) : norcx_tm2sub has 0 polygons
2026-03-28 00:57:06 +0100: Memory Usage (458064K) : snsbotvia_drw has 0 polygons
2026-03-28 00:57:06 +0100: Memory Usage (458064K) : snstopvia_drw has 0 polygons
2026-03-28 00:57:06 +0100: Memory Usage (458064K) : deepvia_drw has 0 polygons
2026-03-28 00:57:06 +0100: Memory Usage (458064K) : fgetch_drw has 0 polygons
2026-03-28 00:57:06 +0100: Memory Usage (458064K) : ctrgat_drw has 0 polygons
2026-03-28 00:57:06 +0100: Memory Usage (458064K) : fgimp_drw has 0 polygons
2026-03-28 00:57:06 +0100: Memory Usage (458064K) : emwihv_drw has 0 polygons
2026-03-28 00:57:06 +0100: Memory Usage (458064K) : lbe_drw has 0 polygons
2026-03-28 00:57:06 +0100: Memory Usage (458064K) : alcustop_drw has 0 polygons
